"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/DateninhaberIdNr[1]";"DateninhaberIdNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/DateninhaberGeburtstag[1]";"DateninhaberGeburtstag"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/Recht[1]";"Recht"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/GueltigBis[1]";"GueltigBis"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/DateninhaberOrdnungsbegriff[1]";"DateninhaberOrdnungsbegriff"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/DatenabruferMail[1]";"DatenabruferMail"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/EOPBenachrichtigungDA[1]";"EOPBenachrichtigungDA"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/Veranlagungszeitraum[1]/Unbeschraenkt[1]";"Unbeschraenkt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/Veranlagungszeitraum[1]/Veranlagungsjahre[1]/Jahr[%2]";"Jahr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/Veranlagungszeitraum[1]/Zeitspanne[1]/Von[1]";"Von"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtAntrag[1]/Veranlagungszeitraum[1]/Zeitspanne[1]/Bis[1]";"Bis"
